縣市,COUNTY_ID,2022粗出生率,經度,緯度
新北市,65000,5.39,121.6739,24.91571
臺北市,63000,5.81,121.5598,25.09108
桃園市,10003,8,121.2168,24.93759
臺中市,66000,6.35,120.9417,24.23321
臺南市,67000,4.8,120.2513,23.1417
高雄市,64000,5.9,120.666,23.01087
宜蘭縣,10002,5.29,121.7195,24.69295
新竹縣,10004,7.09,121.1252,24.70328
苗栗縣,10005,4.27,120.9417,24.48927
彰化縣,10007,8.08,120.4818,23.99297
南投縣,10008,5.04,120.9876,23.83876
雲林縣,10009,5.01,120.3897,23.75585
嘉義縣,10010,4.63,120.574,23.45889
屏東縣,10013,4.68,120.62,22.54951
臺東縣,10014,6.6,120.9876,22.98461
花蓮縣,10015,6.35,121.3542,23.7569
澎湖縣,10016,7.88,119.6151,23.56548
基隆市,10017,4.43,121.7081,25.10898
新竹市,10018,6.74,120.9647,24.80395
嘉義市,10020,4.56,120.4473,23.47545
金門縣,9020,6.05,118.3186,24.43679
連江縣,9007,7.53,119.5397,26.19737
