縣市,COUNTY_ID,平均年齡,第一胎平均年齡,經度,緯度
新北市,65000,32.97,32.12,121.6739,24.91571
臺北市,63000,34.44,33.63,121.5598,25.09108
桃園市,10003,32.10,31.09,121.2168,24.93759
臺中市,66000,32.36,31.29,120.9417,24.23321
臺南市,67000,32.72,31.53,120.2513,23.1417
高雄市,64000,32.51,31.58,120.666,23.01087
宜蘭縣,10002,31.19,29.91,121.7195,24.69295
新竹縣,10004,32.24,31.18,121.1252,24.70328
苗栗縣,10005,30.98,29.70,120.9417,24.48927
彰化縣,10007,31.74,30.72,120.4818,23.99297
南投縣,10008,31.02,29.60,120.9876,23.83876
雲林縣,10009,31.14,29.59,120.3897,23.75585
嘉義縣,10010,30.63,29.29,120.574,23.45889
屏東縣,10013,30.87,29.56,120.62,22.54951
臺東縣,10014,31.00,29.87,120.9876,22.98461
花蓮縣,10015,30.38,29.07,121.3542,23.7569
澎湖縣,10016,31.60,30.72,119.6151,23.56548
基隆市,10017,31.87,30.77,121.7081,25.10898
新竹市,10018,33.04,32.03,120.9647,24.80395
嘉義市,10020,32.38,30.98,120.4473,23.47545
金門縣,9020,32.35,31.28,118.3186,24.43679
連江縣,9007,32.50,32.19,119.5397,26.19737
